Time (s),A/D Value
0,0.009945448
4.02E-09,0.009957851
8.03E-09,0.009981034
1.20E-08,0.01000488
1.61E-08,0.01002668
2.01E-08,0.01003891
2.41E-08,0.01003353
2.81E-08,0.009995977
3.21E-08,0.009954774
3.61E-08,0.009941956
4.02E-08,0.00996609
4.42E-08,0.01000672
4.82E-08,0.01002365
5.22E-08,0.01002193
5.62E-08,0.01001539
6.02E-08,0.009982672
6.43E-08,0.009949001
6.83E-08,0.009960732
7.23E-08,0.009991958
7.63E-08,0.01001635
8.03E-08,0.01002241
8.43E-08,0.01000992
8.84E-08,0.01001458
9.24E-08,0.009997637
9.64E-08,0.009956596
1.00E-07,0.009955547
1.04E-07,0.009968348
1.08E-07,0.00999923
1.12E-07,0.01007834
1.16E-07,0.01009311
1.20E-07,0.01003944
1.24E-07,0.009981292
1.29E-07,0.009923626
1.33E-07,0.009923043
1.37E-07,0.009965728
1.41E-07,0.0100082
1.45E-07,0.01004964
1.49E-07,0.01005929
1.53E-07,0.01002689
1.57E-07,0.009995867
1.61E-07,0.009969669
1.65E-07,0.009952366
1.69E-07,0.009968577
1.73E-07,0.009996491
1.77E-07,0.01002198
1.81E-07,0.01004845
1.85E-07,0.01003176
1.89E-07,0.009988858
1.93E-07,0.009964413
1.97E-07,0.009965322
2.01E-07,0.009982704
2.05E-07,0.01000892
2.09E-07,0.01004101
2.13E-07,0.0100404
2.17E-07,0.0100105
2.21E-07,0.009981397
2.25E-07,0.009954444
2.29E-07,0.009951177
2.33E-07,0.00997629
2.37E-07,0.01001621
2.41E-07,0.01003673
2.45E-07,0.01003501
2.49E-07,0.01002693
2.53E-07,0.009983108
2.57E-07,0.009952664
2.61E-07,0.009970637
2.65E-07,0.009994837
2.69E-07,0.01001975
2.73E-07,0.01002499
2.77E-07,0.01001797
2.81E-07,0.01002354
2.85E-07,0.009998986
2.89E-07,0.00995855
2.93E-07,0.009965425
2.97E-07,0.00999178
3.01E-07,0.01001069
3.05E-07,0.01003142
3.09E-07,0.01003834
3.13E-07,0.01002862
3.17E-07,0.01000079
3.21E-07,0.009967877
3.25E-07,0.009966848
3.29E-07,0.009988516
3.33E-07,0.01001105
3.37E-07,0.0100347
3.41E-07,0.01004199
3.45E-07,0.01003435
3.49E-07,0.01000182
3.53E-07,0.009963563
3.57E-07,0.009970432
3.61E-07,0.009982043
3.65E-07,0.01000862
3.69E-07,0.01005533
3.73E-07,0.01005112
3.78E-07,0.01002306
3.82E-07,0.009987062
3.86E-07,0.009956417
3.90E-07,0.009974677
3.94E-07,0.0100006
3.98E-07,0.01002896
4.02E-07,0.01005905
4.06E-07,0.01005165
4.10E-07,0.01002931
4.14E-07,0.009996781
4.18E-07,0.009951335
4.22E-07,0.009946051
4.26E-07,0.009988047
4.30E-07,0.01002158
4.34E-07,0.01004201
4.38E-07,0.01006139
4.42E-07,0.01003554
4.46E-07,0.00998547
4.50E-07,0.009966738
4.54E-07,0.009969158
4.58E-07,0.00998947
4.62E-07,0.01002823
4.66E-07,0.01005347
4.70E-07,0.01004486
4.74E-07,0.01002155
4.78E-07,0.009988124
4.82E-07,0.009957879
4.86E-07,0.00996789
4.90E-07,0.009992742
4.94E-07,0.01001929
4.98E-07,0.01004185
5.02E-07,0.01003955
5.06E-07,0.01003212
5.10E-07,0.009996143
5.14E-07,0.009958254
5.18E-07,0.009966689
5.22E-07,0.00998318
5.26E-07,0.01000683
5.30E-07,0.01003189
5.34E-07,0.01004746
5.38E-07,0.01004311
5.42E-07,0.009998998
5.46E-07,0.00996144
5.50E-07,0.009965472
5.54E-07,0.009993289
5.58E-07,0.01002146
5.62E-07,0.01004672
5.66E-07,0.01005503
5.70E-07,0.01002918
5.74E-07,0.009995013
5.78E-07,0.00996953
5.82E-07,0.009968335
5.86E-07,0.009991439
5.90E-07,0.01002063
5.94E-07,0.01003761
5.98E-07,0.01003246
6.02E-07,0.01003095
6.06E-07,0.01000889
6.10E-07,0.009969048
6.14E-07,0.009963898
6.18E-07,0.009980369
6.22E-07,0.01001709
6.27E-07,0.01005544
6.31E-07,0.01005476
6.35E-07,0.01002723
6.39E-07,0.009985669
6.43E-07,0.009963901
6.47E-07,0.009970528
6.51E-07,0.009988981
6.55E-07,0.01002416
6.59E-07,0.01003987
6.63E-07,0.01004089
6.67E-07,0.01002681
6.71E-07,0.00997756
6.75E-07,0.009958247
6.79E-07,0.009971793
6.83E-07,0.009982442
6.87E-07,0.01000808
6.91E-07,0.01003828
6.95E-07,0.01004087
6.99E-07,0.01001823
7.03E-07,0.009989932
7.07E-07,0.009963848
7.11E-07,0.00996601
7.15E-07,0.009997384
7.19E-07,0.01002872
7.23E-07,0.01004893
7.27E-07,0.01005583
7.31E-07,0.01004544
7.35E-07,0.009993218
7.39E-07,0.009944153
7.43E-07,0.009964682
7.47E-07,0.010003
7.51E-07,0.0100259
7.55E-07,0.01004827
7.59E-07,0.01005243
7.63E-07,0.0100378
7.67E-07,0.009999719
7.71E-07,0.009969579
7.75E-07,0.009972576
7.79E-07,0.009984565
7.83E-07,0.01002495
7.87E-07,0.01005032
7.91E-07,0.01003551
7.95E-07,0.01002786
7.99E-07,0.009993762
8.03E-07,0.009961112
8.07E-07,0.009966366
8.11E-07,0.00999278
8.15E-07,0.01003704
8.19E-07,0.01004844
8.23E-07,0.01004034
8.27E-07,0.01003619
8.31E-07,0.01000206
8.35E-07,0.009971518
8.39E-07,0.009977224
8.43E-07,0.009989159
8.47E-07,0.01000272
8.51E-07,0.01003247
8.55E-07,0.01005627
8.59E-07,0.01005122
8.63E-07,0.01000767
8.67E-07,0.009960428
8.71E-07,0.009959277
8.76E-07,0.009984206
8.80E-07,0.01001736
8.84E-07,0.0100546
8.88E-07,0.01006068
8.92E-07,0.01003467
8.96E-07,0.00999183
9.00E-07,0.009954249
9.04E-07,0.009961522
9.08E-07,0.009991351
9.12E-07,0.01002522
9.16E-07,0.01004684
9.20E-07,0.01004756
9.24E-07,0.01004662
9.28E-07,0.01000325
9.32E-07,0.009957103
9.36E-07,0.009976433
9.40E-07,0.01001124
9.44E-07,0.01002832
9.48E-07,0.01003998
9.52E-07,0.01003614
9.56E-07,0.01001328
9.60E-07,0.009997739
9.64E-07,0.009994593
9.68E-07,0.009988017
9.72E-07,0.009991351
9.76E-07,0.01002523
9.80E-07,0.01005163
9.84E-07,0.01004489
9.88E-07,0.01003678
9.92E-07,0.01000954
9.96E-07,0.009970685
1.00E-06,0.00997114
1.00E-06,0.009987015
1.01E-06,0.01001625
1.01E-06,0.01005734
1.02E-06,0.0100565
1.02E-06,0.01002694
1.02E-06,0.009988825
1.03E-06,0.009961735
1.03E-06,0.009979856
1.04E-06,0.0099995
1.04E-06,0.01002554
1.04E-06,0.01006362
1.05E-06,0.01006135
1.05E-06,0.0100374
1.06E-06,0.009999281
1.06E-06,0.009963124
1.06E-06,0.009968288
1.07E-06,0.009995032
1.07E-06,0.01001659
1.08E-06,0.009971306
1.08E-06,0.009775985
1.08E-06,0.00977994
1.09E-06,0.01005084
1.09E-06,0.01016931
1.10E-06,0.01009182
1.10E-06,0.009934735
1.10E-06,0.01000285
1.11E-06,0.010258
1.11E-06,0.01037976
1.12E-06,0.01048251
1.12E-06,0.010562
1.12E-06,0.01073087
1.13E-06,0.01134725
1.13E-06,0.01196416
1.14E-06,0.01216108
1.14E-06,0.01233911
1.14E-06,0.01404279
1.15E-06,0.0185752
1.15E-06,0.02326205
1.16E-06,0.02521763
1.16E-06,0.02573333
1.16E-06,0.02630337
1.17E-06,0.02685071
1.17E-06,0.02730866
1.18E-06,0.02757692
1.18E-06,0.02771239
1.18E-06,0.02868355
1.19E-06,0.03065231
